;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100+;Total
France;3809620;4127671;4127425;4099831;3740567;3866667;4066512;4141617;4300102;4501858;4472616;4277087;4074713;3902328;2820833;2182387;1888776;1315426;634293;151778;22229;66780857
1;40145;44753;44456;38915;29374;35573;40475;42645;45060;47077;45480;40934;37256;34728;25556;18290;15233;10625;5292;1308;176;643350
2;31237;35010;35510;33306;25641;28826;30976;31600;33502;35093;36475;36214;35789;33965;21952;17075;15393;10901;4941;978;105;534490
3;15314;17545;18692;18252;14362;14998;16410;17511;20050;22448;23432;23707;25061;25353;19129;15334;13992;10177;4897;1155;170;337988
4;7757;8918;9614;8945;6186;7224;8380;8883;9493;11123;11878;11914;12002;11960;9594;7257;6026;4057;2046;577;77;163915
6;54376;57946;57909;59658;53838;56767;61915;65747;68116;72783;75355;69973;66953;68695;58249;47215;39248;29390;14647;3942;585;1083310
7;16136;18787;20129;17603;12425;14555;16685;18274;20617;22681;23273;22922;23210;23470;17484;13156;10975;7982;4213;1007;127;325712
8;14902;16604;17180;16360;12528;14628;15667;15580;17196;18580;19335;19600;18803;17905;11810;9414;8516;5868;2528;523;51;273579
9;7183;8221;8749;7807;6167;6887;7569;8548;9301;10394;10906;11207;11345;11138;8266;6310;6000;4391;2171;544;50;153153
10;17450;19636;19645;19014;16549;17117;17885;17961;19369;20185;20409;19929;19946;19777;14022;10715;9445;6774;3292;795;105;310020
11;17818;21014;21693;20185;15127;16652;18862;20731;22551;25112;25475;24888;26884;27493;21296;15208;13450;9809;4739;1146;128;370260
12;12668;14736;15533;14608;10747;12082;13640;15223;16481;18703;19679;19964;20151;20849;15171;12765;11972;8838;4322;938;134;279206
67;61260;65155;65020;70770;73650;70638;70896;70958;72487;78522;80427;75152;70578;61507;42155;36819;29590;19212;8765;1791;210;1125559
13;116818;122465;119385;123366;120270;117657;124460;126125;128580;136027;136164;127535;120202;116639;92666;70895;58301;40933;19924;5075;675;2024162
14;36466;41969;42700;46720;41021;37103;39102;40597;42886;45207;45095;45157;46491;44724;30326;23772;21010;14549;7240;1627;239;694002
15;5963;7070;7694;6942;5436;6031;6983;7659;8855;9719;10698;11065;11362;11319;8056;6606;6317;4541;2226;531;70;145143
16;16432;19243;19642;19170;15630;17034;18230;19116;21350;23988;24810;25130;26324;25068;18111;14290;13388;9343;4700;1161;173;352335
17;28279;33946;35887;36004;27585;27641;31990;34843;38565;43126;42570;43303;48967;51757;38220;28380;24228;17683;8828;2194;308;644303
18;14721;16896;17078;16216;13087;14527;15848;15986;17923;20754;21517;21600;21906;22429;16410;12899;11533;7962;3897;896;167;304256
19;10529;12410;12968;13192;10162;10795;11709;13095;14503;15897;16526;17205;17919;18203;13199;10690;10223;7427;3813;878;121;241464
2A;7767;8336;7992;7513;6606;8468;9543;10013;10651;11420;11534;10533;10247;10356;8443;7114;5242;3597;1451;362;62;157249
21;27729;29946;31242;35961;35177;31524;31440;30938;33109;35286;34806;34960;33548;32904;23089;17890;15456;11333;5802;1438;239;533819
22;29569;35026;37341;34518;23257;25665;29573;32337;36635;39497;39646;41358;43381;44922;31919;25398;23155;16044;7671;1657;245;598814
23;4568;5499;5962;5684;4273;4917;5066;5602;6666;7769;8508;9238;9870;9928;7054;5496;5631;4201;2142;495;71;118638
79;19288;22893;24064;21068;15600;17396;20345;21657;23865;25589;26225;25969;25336;24361;17537;14166;13312;9524;4810;1182;164;374351
24;16950;20512;22267;20983;15036;17155;18857;21008;24198;27499;29548;30773;32788;33998;24777;19267;17452;12639;6213;1505;181;413606
25;31564;34427;33682;34426;32882;32663;33588;33776;33723;35695;34505;33205;31975;30877;22885;17717;15303;10234;4698;1080;162;539067
26;29180;32668;33319;29988;22789;26346;29517;30825;31903;34921;35005;33473;32527;32598;24891;18800;15612;10661;5185;1208;137;511553
91;89145;92623;88264;85048;81244;82152;85846;86853;89674;90762;87584;79776;66157;58714;43268;32888;27805;17716;8256;2027;329;1296130
27;36324;41884;41291;37167;26603;31091;36116;38149;40607;42280;40667;39939;38418;36535;24551;18147;15567;10394;4814;1121;175;601843
28;26114;28988;29234;25287;19132;22531;25425;26798;28334;29851;29474;28811;27608;26316;18180;13983;12530;8919;4479;1061;180;433233
29;45178;52095;54888;56248;45914;44634;48983;52370;57131;61414;62260;62426;62918;61093;42283;34638;31047;21545;9603;2122;238;909028
30;39360;44422;45326;44919;35253;36411;40709;43032;45424;50659;52048;50750;50097;50346;38431;27628;23004;16344;7870;1922;222;744178
32;8271;10006;10758;9865;6727;7628;8848;9847;11520;13268;14039;14268;14563;14408;10751;8555;7961;6020;2982;693;113;191091
33;84415;93574;93178;101100;104597;95382;99073;103684;107538;110089;103220;97209;92846;92161;65079;47683;42171;30331;15524;3907;625;1583384
971;20592;24994;28491;27839;18729;17871;18794;20567;26675;29729;31789;29037;25270;22085;16909;12103;9083;5606;2921;940;230;390253
973;29955;30052;29062;25296;18498;18550;19365;18783;17205;15245;12990;10940;8560;5742;3557;2167;1400;851;339;111;30;268700
2B;8483;9588;9330;9346;9086;9892;10931;11084;11598;12591;12199;11774;11507;11802;9222;7579;5766;3645;1773;432;62;177689
31;79381;81913;78671;89667;103787;96312;95428;93774;90900;91420;89621;79902;70383;65760;49736;36616;31944;22901;11236;2914;406;1362672
43;11084;12990;14237;13108;9104;10383;11553;12698;14493;15937;15947;16045;16090;15991;11486;8943;7991;5623;2828;672;80;227283
52;8606;9610;10072;9324;7992;9261;9226;9397;10137;11774;12429;12878;12748;12695;8837;7147;6346;4544;2077;468;72;175640
5;7022;8068;8393;7679;5471;6523;7591;8493;8758;9907;9932;10305;9959;9813;7321;5540;4930;3343;1798;373;66;141284
70;12178;14264;15069;13618;9582;11006;12742;13674;15106;16627;16828;16555;16881;16543;11507;9032;7421;5164;2275;504;82;236659
74;50599;53275;51591;45316;39164;51328;57641;58520;57745;59306;56849;48921;43683;41453;31260;22551;18343;12298;5908;1418;187;807360
65;9825;11279;12364;12985;10009;10010;10922;11986;13326;15536;16231;16622;17147;16998;12605;10221;9280;6799;3432;826;126;228530
87;17935;20263;20434;22448;20868;18305;19646;20687;22978;24620;24997;25205;25823;26218;18976;14790;13590;10116;5110;1240;176;374426
68;43040;46495;47186;43585;37855;43419;46520;47731;50617;55302;55150;52536;49754;44038;31217;26133;21714;14192;6115;1253;178;764030
