dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
00;59;2021-05-03;0;1;;;
00;69;2021-05-03;0;1;;;
00;79;2021-05-03;1;0;;;
00;80;2021-05-03;1;0;;;
01;24;2021-05-03;1193;360;45088.0;2.6;0.8
01;29;2021-05-03;1351;447;34820.0;3.9;1.3
01;39;2021-05-03;4508;1494;85588.0;5.3;1.7
01;49;2021-05-03;7827;2598;89678.0;8.7;2.9
01;59;2021-05-03;20546;5607;89791.0;22.9;6.2
01;64;2021-05-03;17463;3133;38384.0;45.5;8.2
01;69;2021-05-03;18669;3826;35116.0;53.2;10.9
01;74;2021-05-03;21162;8258;30953.0;68.4;26.7
01;79;2021-05-03;14803;11191;20058.0;73.8;55.8
01;80;2021-05-03;23116;17875;34225.0;67.5;52.2
02;24;2021-05-03;1241;382;37469.0;3.3;1.0
02;29;2021-05-03;1333;503;26232.0;5.1;1.9
02;39;2021-05-03;4270;1683;62599.0;6.8;2.7
02;49;2021-05-03;6665;2732;64812.0;10.3;4.2
02;59;2021-05-03;18605;5600;70352.0;26.4;8.0
02;64;2021-05-03;15056;3377;34901.0;43.1;9.7
02;69;2021-05-03;17289;4711;34176.0;50.6;13.8
02;74;2021-05-03;20184;8708;28969.0;69.7;30.1
02;79;2021-05-03;12448;9302;16402.0;75.9;56.7
02;80;2021-05-03;21163;15996;32544.0;65.0;49.2
03;24;2021-05-03;955;261;20427.0;4.7;1.3
03;29;2021-05-03;936;377;14422.0;6.5;2.6
03;39;2021-05-03;2919;1263;33349.0;8.8;3.8
03;49;2021-05-03;5117;2172;39464.0;13.0;5.5
03;59;2021-05-03;13284;4048;45840.0;29.0;8.8
03;64;2021-05-03;11314;2157;23776.0;47.6;9.1
03;69;2021-05-03;13684;2976;25182.0;54.3;11.8
03;74;2021-05-03;16210;5992;23121.0;70.1;25.9
03;79;2021-05-03;12089;9656;15099.0;80.1;64.0
03;80;2021-05-03;21600;17366;30684.0;70.4;56.6
04;24;2021-05-03;171;66;9366.0;1.8;0.7
04;29;2021-05-03;253;101;7090.0;3.6;1.4
04;39;2021-05-03;804;364;17545.0;4.6;2.1
04;49;2021-05-03;1773;779;19525.0;9.1;4.0
04;59;2021-05-03;5528;1937;23898.0;23.1;8.1
04;64;2021-05-03;4872;1196;12510.0;38.9;9.6
04;69;2021-05-03;5886;1822;11975.0;49.2;15.2
04;74;2021-05-03;7889;3954;11196.0;70.5;35.3
04;79;2021-05-03;6183;4875;7612.0;81.2;64.0
04;80;2021-05-03;9017;7190;13386.0;67.4;53.7
05;24;2021-05-03;203;73;8030.0;2.5;0.9
05;29;2021-05-03;344;136;6298.0;5.5;2.2
05;39;2021-05-03;1138;499;16000.0;7.1;3.1
05;49;2021-05-03;1864;783;17800.0;10.5;4.4
05;59;2021-05-03;5150;1790;20029.0;25.7;8.9
05;64;2021-05-03;4732;968;10157.0;46.6;9.5
05;69;2021-05-03;5698;1223;10059.0;56.6;12.2
05;74;2021-05-03;6895;3292;8831.0;78.1;37.3
05;79;2021-05-03;4899;3991;5786.0;84.7;69.0
05;80;2021-05-03;7547;6208;11099.0;68.0;55.9
06;24;2021-05-03;3181;832;75754.0;4.2;1.1
06;29;2021-05-03;4027;1321;53360.0;7.5;2.5
06;39;2021-05-03;12495;4023;126997.0;9.8;3.2
06;49;2021-05-03;23511;6593;136067.0;17.3;4.8
06;59;2021-05-03;57364;13729;146182.0;39.2;9.4
06;64;2021-05-03;37612;8950;67948.0;55.4;13.2
06;69;2021-05-03;40938;15580;65935.0;62.1;23.6
06;74;2021-05-03;48161;24957;64545.0;74.6;38.7
06;79;2021-05-03;39879;32155;49474.0;80.6;65.0
06;80;2021-05-03;63743;51189;89569.0;71.2;57.2
07;24;2021-05-03;557;252;18892.0;2.9;1.3
07;29;2021-05-03;661;354;13765.0;4.8;2.6
07;39;2021-05-03;2402;1190;34837.0;6.9;3.4
07;49;2021-05-03;4570;2037;41497.0;11.0;4.9
07;59;2021-05-03;12355;4164;46663.0;26.5;8.9
07;64;2021-05-03;10505;2317;23577.0;44.6;9.8
07;69;2021-05-03;12977;3134;23453.0;55.3;13.4
07;74;2021-05-03;15392;5606;21460.0;71.7;26.1
07;79;2021-05-03;10709;7877;13721.0;78.0;57.4
07;80;2021-05-03;17141;13109;24817.0;69.1;52.8
08;24;2021-05-03;825;207;18037.0;4.6;1.1
08;29;2021-05-03;932;273;13085.0;7.1;2.1
08;39;2021-05-03;2910;890;30561.0;9.5;2.9
08;49;2021-05-03;4522;1344;32888.0;13.7;4.1
08;59;2021-05-03;12195;3025;37571.0;32.5;8.1
08;64;2021-05-03;10198;1834;18636.0;54.7;9.8
08;69;2021-05-03;11028;2424;17922.0;61.5;13.5
08;74;2021-05-03;11653;4679;15463.0;75.4;30.3
08;79;2021-05-03;6947;5471;8669.0;80.1;63.1
08;80;2021-05-03;12273;9840;18175.0;67.5;54.1
09;24;2021-05-03;361;129;9110.0;4.0;1.4
09;29;2021-05-03;421;179;6679.0;6.3;2.7
09;39;2021-05-03;1349;579;15798.0;8.5;3.7
09;49;2021-05-03;2629;1058;18797.0;14.0;5.6
09;59;2021-05-03;6142;2017;21635.0;28.4;9.3
09;64;2021-05-03;5178;1147;11336.0;45.7;10.1
09;69;2021-05-03;6547;1687;11303.0;57.9;14.9
09;74;2021-05-03;8031;3373;10028.0;80.1;33.6
09;79;2021-05-03;5683;4165;6375.0;89.1;65.3
09;80;2021-05-03;9338;7024;13426.0;69.6;52.3
10;24;2021-05-03;902;347;24096.0;3.7;1.4
10;29;2021-05-03;1027;414;16549.0;6.2;2.5
10;39;2021-05-03;3170;1281;36584.0;8.7;3.5
10;49;2021-05-03;5227;2008;38394.0;13.6;5.2
10;59;2021-05-03;13112;4186;39551.0;33.2;10.6
10;64;2021-05-03;10714;2187;19401.0;55.2;11.3
10;69;2021-05-03;12130;3162;19343.0;62.7;16.3
10;74;2021-05-03;14130;6857;17592.0;80.3;39.0
10;79;2021-05-03;9452;7593;10554.0;89.6;71.9
